Time,Anomaly (deg C),Uncorrelated uncertainty (1 sigma),Correlated uncertainty (1 sigma),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1850,-0.3552772,0.009187317,0.08837633,0.03927906,0.09643989,0.13688783
1851,-0.20580932,0.009397879,0.08989257,0.03855099,0.08533959,0.13014615
1852,-0.21267058,0.009905826,0.08575575,0.037889857,0.087527506,0.12864245
1853,-0.24794768,0.008161895,0.07153456,0.036377307,0.097549684,0.12658222
1854,-0.25190675,0.0069856076,0.06699962,0.03514272,0.087369144,0.115784824
1855,-0.28030276,0.0061204764,0.06308045,0.035072654,0.07678634,0.10555963
1856,-0.33734566,0.0055723134,0.062304154,0.034243632,0.086852014,0.11237774
1857,-0.43812317,0.005524215,0.06040369,0.032178875,0.079042576,0.104701154
1858,-0.40261176,0.0059524486,0.06576452,0.032000657,0.07969174,0.108329214
1859,-0.2484393,0.0062515605,0.06572077,0.031105261,0.08044096,0.1086121
1860,-0.29996136,0.006728769,0.06397483,0.030553697,0.072905004,0.10191527
1861,-0.3661824,0.0078111994,0.059250075,0.03458667,0.06978089,0.09816923
1862,-0.4876973,0.007931257,0.05987891,0.033096578,0.07151505,0.099288344
1863,-0.25679776,0.007830553,0.052269984,0.033713754,0.06920205,0.09337564
1864,-0.45707172,0.0076588118,0.047020234,0.03265809,0.07306957,0.093141146
1865,-0.25214252,0.008139009,0.04204129,0.034736052,0.07553996,0.09352322
1866,-0.2342013,0.008020716,0.04489584,0.03497544,0.07457758,0.09415447
1867,-0.30991814,0.008094162,0.04171672,0.034595057,0.07388239,0.09198493
1868,-0.23690768,0.007887228,0.0582877,0.034485504,0.07615915,0.10222099
1869,-0.28207,0.007606238,0.053176757,0.029816246,0.06772575,0.09144074
1870,-0.27201527,0.007439229,0.045836933,0.028795693,0.064295284,0.08437679
1871,-0.33589095,0.00767343,0.04974043,0.030090984,0.065563254,0.08796021
1872,-0.23962317,0.007190943,0.047390983,0.028886454,0.061935708,0.08347499
1873,-0.3126903,0.0071301833,0.049078617,0.029310307,0.059520982,0.08283351
1874,-0.36886883,0.007009851,0.04774916,0.028679943,0.06091255,0.08283718
1875,-0.38940236,0.0068402635,0.051526345,0.029699847,0.058634803,0.08379663
1876,-0.3848819,0.006583209,0.05243031,0.029516274,0.059535928,0.084900014
1877,-0.07007072,0.006515997,0.049062133,0.029325007,0.05887808,0.082317285
1878,0.015902527,0.0064161704,0.05155165,0.02854027,0.058423627,0.08322624
1879,-0.24473079,0.005707346,0.050746683,0.027751554,0.06163937,0.0847193
1880,-0.24689157,0.0054958644,0.045835573,0.028385274,0.05986559,0.08075096
1881,-0.21038105,0.0053125015,0.048855256,0.027783655,0.061327625,0.08335507
1882,-0.22692953,0.00532233,0.045090195,0.028918916,0.060377907,0.08089034
1883,-0.30767748,0.0046773446,0.04427208,0.027955923,0.060554303,0.08018885
1884,-0.42452452,0.0043041455,0.04442899,0.026936686,0.06453592,0.08296343
1885,-0.4063743,0.004082384,0.045991685,0.027538637,0.06219523,0.08221024
1886,-0.38870016,0.00409566,0.043648507,0.028096661,0.062083807,0.08102955
1887,-0.4501366,0.0043389946,0.04146828,0.02945154,0.05963493,0.07849945
1888,-0.33101767,0.0044658976,0.039999492,0.029831605,0.061127685,0.07903431
1889,-0.19456302,0.004838218,0.038270455,0.03230013,0.058661465,0.07728197
1890,-0.43711743,0.0049500037,0.039411746,0.03395264,0.055610694,0.07630936
1891,-0.34948245,0.005085924,0.041601904,0.035728358,0.062055964,0.082970135
1892,-0.46862856,0.005300975,0.042976204,0.036549967,0.059926163,0.08247484
