Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.07,-.01,-.12,-.24,-.16,.07,-.04,-.14,.01,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.05,.10,.10,.09,-.05,-.07,-.02,-.04,.00,.00,.10,.01,.01,-.02,.10,-.04,-.01
1882,.07,.08,.08,-.01,-.04,-.15,-.04,.01,-.04,.04,.00,-.07,.00,.01,.08,.01,-.06,.00
1883,-.02,-.07,-.08,-.06,-.09,-.02,-.08,-.05,-.10,-.05,-.04,-.05,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.09,-.21,-.31,-.28,-.21,-.06,-.11,-.06,-.10,-.14,-.14,-.13,-.06,-.20,-.18,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.11,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.21,-.18,-.14,-.23,-.15,-.28,-.19,-.18,-.14,-.17,-.23,-.17
1887,-.36,-.43,-.27,-.30,-.35,-.27,-.26,-.16,-.29,-.22,-.24,-.22,-.28,-.29,-.36,-.30,-.23,-.25
1888,-.20,-.12,-.21,-.19,-.29,-.31,-.20,-.09,-.04,.07,.07,.15,-.11,-.14,-.18,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.13,-.06,-.20,-.17,-.10,-.06,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.20,-.32,-.33,-.34,-.43,-.33,-.32,-.39,-.38,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.16,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.06,-.14,-.21,-.23,-.38,-.25,-.21,-.13,.00,-.03,-.11,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.13,-.17,-.12,-.24,-.23,-.32,-.14,-.17,-.16,-.09,-.04,-.06,-.16,-.16,-.14,-.20,-.21,-.10
1894,-.15,-.19,-.25,-.37,-.37,-.41,-.28,-.23,-.25,-.19,-.06,-.09,-.24,-.23,-.13,-.33,-.31,-.17
1895,-.16,-.07,-.18,-.26,-.26,-.22,-.17,-.09,-.18,-.12,-.20,-.05,-.16,-.17,-.11,-.23,-.16,-.17
1896,-.08,-.07,-.04,-.01,-.15,-.29,-.05,.00,-.02,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.12,.01,-.16,-.16,-.07,-.12,-.10,-.10,-.10,-.12,-.05,-.03,.10,-.01,-.12,-.10
1898,-.09,-.16,-.23,-.34,-.33,-.30,-.32,-.36,-.25,-.32,-.26,-.20,-.26,-.26,-.12,-.30,-.33,-.28
1899,-.20,-.13,-.14,-.18,-.23,-.28,-.16,-.11,-.05,-.11,-.09,-.05,-.14,-.16,-.18,-.18,-.18,-.08
1900,-.10,.03,-.04,-.07,-.13,-.09,-.13,-.08,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.10,-.02
1901,-.10,-.12,-.14,-.15,-.19,-.24,-.29,-.24,-.17,-.27,-.13,-.15,-.18,-.18,-.11,-.16,-.26,-.19
1902,-.19,-.15,-.17,-.17,-.25,-.23,-.22,-.30,-.23,-.27,-.25,-.22,-.22,-.21,-.16,-.20,-.25,-.25
1903,-.24,-.22,-.29,-.35,-.36,-.39,-.27,-.36,-.50,-.48,-.43,-.46,-.36,-.34,-.23,-.33,-.34,-.47
1904,-.51,-.56,-.56,-.51,-.60,-.48,-.43,-.44,-.48,-.38,-.25,-.31,-.46,-.47,-.51,-.56,-.45,-.37
1905,-.28,-.35,-.20,-.20,-.29,-.27,-.29,-.16,-.17,-.21,-.21,-.07,-.23,-.25,-.31,-.23,-.24,-.20
1906,.01,-.04,-.16,-.14,-.27,-.27,-.18,-.23,-.32,-.23,-.35,-.33,-.21,-.19,-.03,-.19,-.23,-.30
1907,-.27,-.29,-.24,-.29,-.34,-.32,-.29,-.29,-.28,-.25,-.36,-.35,-.30,-.30,-.30,-.29,-.30,-.30
1908,-.34,-.38,-.40,-.41,-.46,-.47,-.35,-.35,-.41,-.43,-.41,-.43,-.40,-.40,-.36,-.42,-.39,-.42
1909,-.51,-.46,-.41,-.52,-.59,-.52,-.45,-.32,-.41,-.46,-.53,-.55,-.48,-.47,-.47,-.51,-.43,-.47
1910,-.49,-.44,-.52,-.45,-.38,-.32,-.30,-.34,-.35,-.51,-.53,-.53,-.43,-.43,-.49,-.45,-.32,-.46
1911,-.53,-.56,-.57,-.61,-.58,-.66,-.46,-.44,-.43,-.33,-.21,-.11,-.46,-.49,-.54,-.59,-.52,-.32
1912,-.14,-.11,-.14,-.18,-.28,-.32,-.31,-.30,-.34,-.29,-.25,-.29,-.25,-.23,-.12,-.20,-.31,-.29
1913,-.24,-.25,-.38,-.28,-.32,-.40,-.20,-.20,-.26,-.24,-.23,-.14,-.26,-.27,-.26,-.33,-.26,-.24
1914,-.07,-.09,-.11,-.19,-.22,-.27,-.12,-.05,-.03,-.04,-.07,-.01,-.11,-.12,-.10,-.18,-.15,-.05
1915,-.13,.03,.05,.06,-.10,-.29,-.13,-.27,-.19,-.21,-.22,-.18,-.13,-.12,-.04,.01,-.23,-.21
1916,-.15,-.12,-.17,-.26,-.33,-.48,-.40,-.20,-.24,-.33,-.48,-.51,-.31,-.28,-.15,-.26,-.36,-.35
1917,-.63,-.59,-.53,-.46,-.39,-.39,-.19,-.06,-.16,-.27,-.36,-.29,-.36,-.38,-.58,-.46,-.21,-.26
1918,-.27,-.24,-.25,-.30,-.37,-.28,-.29,-.26,-.09,-.06,.02,.00,-.20,-.22,-.27,-.31,-.28,-.04
1919,.00,-.05,-.02,-.01,-.13,-.31,-.25,-.38,-.31,-.31,-.34,-.28,-.20,-.18,-.02,-.06,-.31,-.32
1920,-.33,-.23,-.24,-.27,-.32,-.45,-.34,-.21,-.08,-.13,-.08,-.21,-.24,-.25,-.28,-.28,-.33,-.10
